date,pm25, pm10, o3, no2, so2, co
2020/7/31,61,19,21,12,2,5
2020/6/1,59,29,16,13,2,5
2020/6/2,61,21,23,11,2,5
2020/6/3,45,21,19,10,2,4
2020/6/4,47,25,20,11,2,4
2020/6/5,49,25,25,17,2,5
2020/6/6,52,30,23,20,2,6
2020/6/7,59,27,21,24,3,6
2020/6/8,61,26,20,14,3,6
2020/6/9,54,28,23,16,3,5
2020/6/10,59,21,21,11,2,4
2020/6/11,47,13,24,4,2,4
2020/6/12,24,18,20,9,3,4
2020/6/13,45,13,25,3,2,3
2020/6/14,21,16,25,7,2,4
2020/6/15,30,21,20,12,2,5
2020/6/16,45,19,24,12,2,8
2020/6/17,37,20,22,13,2,4
2020/6/18,41,24,26,14,2,4
2020/6/19,56,20, ,14,3,4
2020/6/20,52,19,13,11,2,4
2020/6/21,50,19,22,11,2,4
2020/6/22,49,21,17,8,2,3
2020/6/23,37,21,21,8,2,3
2020/6/24,47,17,19,6,2,4
2020/6/25,35,20,20,10,2,4
2020/6/26,41,16,20,8,2,4
2020/6/27,25,11,21,7,2,3
2020/6/28,23,19, ,14,3,5
2020/6/29,43,23, ,14,2,5
2020/6/30,54,23, ,14,2,4
2020/5/1,65,34,36,8,3,5
2020/5/2,73,39,54,19,3,5
2020/5/3,78,31,36,14,2,5
2020/5/4,66,24,25,10,2,4
2020/5/5,53,28,21,9,2,6
2020/5/6,57,24,19,11,2,4
2020/5/7,47,23,19,12,2,5
2020/5/8,51,21,19,13,2,5
2020/5/9,44,35,39,17,2,6
2020/5/10,63,50,73,24,2,6
2020/5/11,91,46,77,28,3,7
2020/5/12,99,58,86,30,2,8
2020/5/13,115,39,63,14,2,5
2020/5/14,64,41,34,12,2,5
2020/5/15,71,26,32,15,2,4
2020/5/16,57,37,41,17,2,5
2020/5/17,82,31,35,21,2,6
2020/5/18,77,36,60,22,2,6
2020/5/19,74,35,47,16,2,6
2020/5/20,63,29,29,19,2,6
2020/5/21,57,34,32,20,2,8
2020/5/22,80,24,40,16,2,7
2020/5/23,58,27,46,13,2,6
2020/5/24,58,31,31,18,3,6
2020/5/25,64,38,37,21,3,6
2020/5/26,74,52,70,32,3,8
2020/5/27,100,54,46,22,3,8
2020/5/28,104,35,39,15,3,5
2020/5/29,77,30,21,18,2,6
2020/5/30,56,27,20,14,3,6
2020/5/31,59,28,18,14,2,6
2020/4/1,54,34,36,6,2,5
2020/4/2,58,43,35,16,3,6
2020/4/3,88,30, ,14,2,6
2020/4/4,62,29, ,15,2,6
2020/4/5,63,26, ,22,2,6
2020/4/6,69,39,29,27,3,6
2020/4/7,97,53,44,26,3,5
2020/4/8,95,59,72,24,3,5
2020/4/9,104,50,59,18,3,5
2020/4/10,86,70,45,25,3,6
2020/4/11,120,28,45,11,3,6
2020/4/12,54,47,72,17,3,5
2020/4/13,84,53,54,30,3,5
