is_hr,city,scale,is_view,name,url,industry,deliver,ad_type,refresh,month_num,cname,ftype,invite,maxsal,job_label,type,day,minsal,uuid
False,济南,50-150人,False,量化策略分析师,https://sxsimg.xiaoyuanzhao.com/51/55/5127707224420BAC441D2C43DDBEBB55.png,金融/经济/投资/财会,False,f,09-30,3,戈尔特西斯,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_y6p9gsfixsg5
False,北京,15-50人,False,大数据开发工程师,https://sxsimg.xiaoyuanzhao.com/F6/16/F6316BF9D965C0270C316F170CEA7616.png,互联网/游戏/软件,False,f,09-23,10,智数时空,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,3,100,inn_ccwzrbo1gaqz
False,上海,150-500人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/C1/FB/C10C976012E0498AB24A5143B3475BFB.png,互联网/游戏/软件,False,f,09-21,3,莉莉丝游戏,0,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,250,inn_ddlgmfzfqjzp
False,北京,2000人以上,False,反欺诈数据挖掘实习生-ZP2009155521,https://sxsimg.xiaoyuanzhao.com/25/19/259B0946C5E1E2AC04CE9DC0C53B2919.png,互联网/游戏/软件,False,f,09-18,3,京东数科,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_78l2xoqtpvod
False,北京,2000人以上,False,宏观研究实习生ZP2009156415,https://sxsimg.xiaoyuanzhao.com/25/19/259B0946C5E1E2AC04CE9DC0C53B2919.png,互联网/游戏/软件,False,f,09-16,3,京东数科,0,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_xoqwbew6kza3
False,北京,2000人以上,False,电商数据分析师实习生,https://sxsimg.xiaoyuanzhao.com/9F/DA/9FF5A212DD7C61A398B076FF148938DA.png,互联网/游戏/软件,False,f,09-16,4,字节跳动,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_vdo7ky8eggdb
False,北京,500-2000人,False,安全工程师,https://sxsimg.xiaoyuanzhao.com/F2/D6/F2DCE183DB4D010C49348C45077FD9D6.png,互联网/游戏/软件,False,f,09-14,12,中科院软件所,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_4amfwd1dkfza
False,深圳,2000人以上,False,软件工程师（数据挖掘方向）,https://sxsimg.xiaoyuanzhao.com/0C/6A/0CDD5200FECB4F957ED841CEC6BDFB6A.png,房产/家居/物业/建筑,False,f,09-09,8,方大集团,1,False,1000,"{'is_ji': False, 'is_quick': False}",intern,5,500,inn_zhogtcdiv1il
False,广州,2000人以上,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/8F/DF/8F721E6CFC8BDB8FBE2DC6DAD3E8E4DF.png,电子/通信/硬件,False,f,09-07,6,亚信科技,1,False,120,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_9vjnucuu9ebb
False,北京,150-500人,False,自然语言研发工程师（大数据智能平台部）,https://sxsimg.xiaoyuanzhao.com/AD/05/AD1672528A1D6DCEFE53B2B28FA40405.png,互联网/游戏/软件,False,f,09-07,3,绿湾科技,0,False,400,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_o8awfiz7ay3b
